City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,10.76,85,98,2.24,RU,1713816165
1,port-aux-francais,-49.35,70.2167,42.96,78,98,24.79,TF,1713816165
2,kondoa,-4.9,35.7833,63.82,96,100,3.38,TZ,1713816165
3,adamstown,-25.066,-130.1015,72.57,76,74,25.75,PN,1713816165
4,albany,42.6001,-73.9662,50.14,32,0,8.84,US,1713816165
5,nova sintra,14.8667,-24.7167,73.26,72,72,12.17,CV,1713816166
6,grytviken,-54.2811,-36.5092,32.74,78,56,27.2,GS,1713816166
7,kingscliff,-28.2667,153.5667,66.04,87,82,7.23,AU,1713816166
8,codrington,-38.2667,141.9667,54.28,43,100,12.93,AU,1713816166
9,tura,25.5198,90.2201,75.78,41,18,5.37,IN,1713816166
10,bamboo flat,11.7,92.7167,80.96,81,60,7.81,IN,1713816167
11,porto novo,6.4965,2.6036,84.42,79,13,9.71,BJ,1713816167
12,sao fidelis,-21.6461,-41.7469,76.51,82,0,1.83,BR,1713816167
13,edinburgh of the seven seas,-37.0676,-12.3116,63.54,84,67,24.85,SH,1713816167
14,margaret river,-33.95,115.0667,56.34,54,100,8.75,AU,1713816167
15,la passe,45.5549,-0.8967,45.61,69,49,8.34,FR,1713816167
16,puerto natales,-51.7236,-72.4875,44.69,72,46,7.85,CL,1713816168
17,port alfred,-33.5906,26.891,66.09,80,94,11.12,ZA,1713816168
18,puerto deseado,-47.7503,-65.8938,52.63,61,11,17.52,AR,1713816168
19,constantia,44.1833,28.65,49.51,82,56,2.82,RO,1713816168
20,shchastya,48.7396,39.2323,56.28,45,71,3.2,UA,1713816168
21,magadan,59.5667,150.8,24.28,81,70,3.38,RU,1713816169
22,yellowknife,62.456,-114.3525,36.72,69,100,11.59,CA,1713816039
23,udachny,66.4167,112.4,26.49,97,100,4.5,RU,1713816169
24,stanley,54.868,-1.6985,43.83,95,99,9.53,GB,1713816169
25,port lincoln,-34.7333,135.8667,61.39,48,99,9.86,AU,1713816169
26,ribeira grande,38.5167,-28.7,59.05,86,100,20.94,PT,1713816169
27,ilulissat,69.2167,-51.1,34.75,98,100,4.03,GL,1713816170
28,west island,-12.1568,96.8225,80.92,83,100,21.56,CC,1713816170
29,thompson,55.7435,-97.8558,35.42,99,100,8.75,CA,1713816170
30,arklow,52.7931,-6.1414,50.72,79,100,10.63,IE,1713816170
31,siteki,-26.45,31.95,68.59,49,17,4.56,SZ,1713816170
32,college,64.8569,-147.8028,41.07,82,96,2.33,US,1713815920
33,brush,40.2589,-103.6238,74.82,20,70,3.15,US,1713816171
